Amerus polonicus
Amia calva
Amietia angolensis
Amietia fuscigula
Amietophrynus camerunensis
Amietophrynus garmani
Amietophrynus gutturalis
Amietophrynus maculatus
Amietophrynus pantherinus
Amietophrynus rangeri
Amietophrynus regularis
Amietophrynus steindachneri
Amioides polyacanthus
Amischa analis
Amischa decipiens
Ammodytes americanus
Ammodytes dubius
Ammodytes hexapterus
Ammodytes marinus
Ammodytes personatus
Ammodytes tobianus
Ammodytoides leptus
Ammospermophilus harrisii
Ammospermophilus leucurus
Ammospermophilus nelsoni
Ammothea carolinensis
Amniataba percoides
Amoeba proteus
Amorpha juglandis
Amoya moloanus
Ampedus balteatus
Ampedus elegantulus
Ampedus nigrinus
Ampedus nigroflavus
Ampedus rufipennis
Ampedus sanguineus
Ampedus suecicus
Ampedus tristis
Ampelisca brevicornis
Ampelisca diadema
Ampelisca eschrichti
Ampelisca macrocephala
Ampelisca richardsoni
Ampelisca typica
Ampelisca vadorum
Ampharete acutifrons
Ampharete finmarchica
Ampharete vega
Amphiarius phrygiatus
Amphiarius rugispinis
Amphibola crenata
Amphibolurus muricatus
Amphichthys cryptocentrus
Amphicteis gunneri
Amphidinium carterae
Amphidinium carterea
Amphidinium crassum
Amphidinium hadai
Amphidinium latum
Amphidinium longum
Amphiesma stolatum
Amphilochus neapolitanus
Amphilophium crucigerum
Amphilophium paniculatum
Amphimallon majale
Amphimallon solstitiale
Amphinemura sulcicollis
Amphioctopus membranaceus
Amphipholis squamata
Amphipoea americana
Amphipoea velata
Amphiporus lactifloreus
Amphiprion melanopus
Amphiprora paludosa var. duplex
Amphipyra pyramidoides
Amphisbaena alba
Amphisbaena anomala
Amphisbaena cegei
Amphisbaena darwinii
Amphisbaena fenestrata
Amphisbaena fuliginosa
Amphisbaena hiata
Amphisbaena ibijara
Amphisbaena mertensii
Amphisbaena microcephalum
Amphisbaena mitchelli
Amphisbaena polystegum
Amphisbaena pretrei
Amphisbaena prunicolor
Amphisbaena roberti
Amphisbaena steindachneri
Amphisbaena trachura
Amphisbaena vermicularis
Amphisbaena wuchereri
Amphispiza bilineata
Amphistichus argenteus
Amphiuma means
Amphiuma tridactylum
Amphiura chiajei
Amphiura filiformis
Amphiura sundevalli
Amphora coffeaeformis
Ampithoe longimana
Ampithoe rubricata
Ampithoe valida
Amsacta moorei
Amydria effrentella
Amyema queenslandica
Amylax buxus
Amylax triacantha
Anabas testudineus
Anabolia bimaculata
Anabolia nervosa
Anacaena limbata
Anacampsis phytomiella
Anacardium excelsum
Anaceratagallia ribauti
Anacridium aegyptium
Anacystis nidulans
Anadara brasiliana
Anadara notabilis
Anadara ovalis
Anadara transversa
Anaea aidea
Anagrapha falcifera
Analeptura lineola
Anapagurus laevis
Anaplectus grandepapillatus
Anaptus major
Anarhichas lupus
Anarhichas orientalis
Anas acuta
Anas americana
Anas clypeata
Anas crecca
Anas cyanoptera
Anas discors
Anas penelope
Anas platyrhynchos
Anas superciliosa
Anas versicolor
Anastomus lamelligerus
Anastrepha ludens
Anatis ocellata
Anaulacaspis nigra
Anax amazili
Anax guttatus
Anax imperator
Anax junius
Anax longipes
Anax walsinghami
Anaxyrus americanus
Anaxyrus boreas
Anaxyrus californicus
Anaxyrus cognatus
Anaxyrus fowleri
Anaxyrus punctatus
Anaxyrus quercicus
Anaxyrus terrestris
Anaxyrus woodhousii
Anchialina agilis
Anchoa compressa
Anchoa delicatissima
Anchoa hepsetus
Anchoa lamprotaenia
Anchoa lucida
Anchoa mitchilli
Anchoa nasus
Anchoa parva
Anchoa spinifer
Anchomenus dorsalis
Anchovia clupeoides
Anchoviella lepidentostole
Anchylomera blossevillei
Ancistrocerus gazella
Ancistrocheirus lesueurii
Ancistroteuthis lichtensteini
Ancylis apicella
Ancylis divisana
Ancylis spiracifoliana
Ancylopsetta ommata
Ancylus fluviatilis
Ancyromonas sigmoides
Andrena cineraria
Andrena flavipes
Andrena regularis
Andrena wilkella
Aneides aeneus
Aneides hardii
Anelasmocephalus cambridgei
Anelosimus vittatus
Anemonia natalensis
Anemonia sargassensis
Anemonia sulcata
Anemonia viridis
Anepischetosia maccoyi
Anguilla anguilla
Anguilla australis
Anguilla bengalensis
Anguilla dieffenbachii
Anguilla rostrata
Anguis fragilis
Anguis veronensis
Anhinga anhinga
Anhinga novaehollandiae
Anhinga rufa
Anicla infecta
Aniculus aniculus
Anilios australis
Anilios endoterus
Anilios nigrescens
Anilios nigroterminatus
Anilios proximus
Anilius scytale
Anilocra physodes
Anisarchus medius
Anisodactylus binotatus
