Chaetoceros curvetus
Leptocylindrus danicus
Leptocylindrus danicus
unknown_cryptomonad unknown_cryptomonad
unknown_cryptomonad unknown_cryptomonad
Chaetoceros
Zygnema pseudogedeanum
Planotaenium interruptum
Oedogonium stellatum
Cylindrocystis brebissonii
Closterium cornu
unknown_diatom unknown_diatom
Staurodesmus octocornis
Staurodesmus mamillatus
Staurodesmus convergens
Staurastrum spongiosum
Staurastrum orbiculare
Staurastrum hirsutum
Staurastrum brachiatum
Staurastrum arctison
Roya obtusa
Planotaenium ahtanii
Penium exiguum
Cylindrocystis
Cosmarium tinctum
Closterium pseudolunula
Euglena viridis
Trachelomonas armatum
Monomorphina pyrum
Euglena stellata
Euglena viridis
Euglena pseudostellata
Euglena mutabilis
Euglena deses
Euglena schmitzii
Trachelomonas armatum
Monomorphina pyrum
Euglena stellata
Euglena viridis
Euglena pseudostellata
Euglena mutabilis
Euglena deses
Euglena schmitzii
Yamagishiella unicocca
Yamagishiella unicocca
Volvox carteri
Volvox aureus
Volvox carteri
Volvox aureus
Pleodorina indica
Pleodorina illinoisensis
Pleodorina indica
Pleodorina illinoisensis
Chlamydomonas multitaeniata
Chlamydomonas stagnophila
Eudorina cylindrica
Eudorina elegans
Eudorina illinoisensis
Eudorina cylindrica
Eudorina elegans
Eudorina illinoisensis
Gonium pectorale
Gonium pectorale
Pandorina morum
Pandorina morum
unidentified_bacteria unidentified_bacteria
Isochrysis galbana
Isochrysis galbana
Isochrysis galbana
Monochrysis lutheri
Monochrysis lutheri
Dunaliella tertiolecta
Dunaliella tertiolecta
Parabodo caudatus
Parabodo caudatus
Neoceratium furca
Neoceratium fusus
Teleaulax acuta
Teleaulax amphioxeia
Heterocapsa triquetra
Heterocapsa triquetra
Skeletonema costatum
Rhodomonas baltica
Marsupiomonas pelliculata
unknown_cryptomonad unknown_cryptomonad
unknown_cryptomonad unknown_cryptomonad
unknown_cryptomonad unknown_cryptomonad
unknown_cryptomonad unknown_cryptomonad
unknown_cryptomonad unknown_cryptomonad
unknown_cryptomonad unknown_cryptomonad
Cryptoperidiniopsis
Cryptoperidiniopsis
Pfiesteria piscicida
Pfiesteria piscicida
Storeatula major
Storeatula major
Scenedesmus dimorphus
Chlorella
Chlorella
Chlorella
Chlorella
Chlorella
Chlorella
Isochrysis galbana
Phaeodactylum tricornutum
Dunaliella tricornutum
Chlorella capsulata
Chlorella stigmataphora
Isochrysis galbana
Porphyridium
Phaeodactylum tricornutum
Dunaliella tertiolecta
unknown_diatom unknown_diatom
unknown_ciliate unknown_ciliate
Lingulodinium polyedra
Alexandrium tamarense
Phaeocystis antarctica
Phacus suecicus
Storeatula major
Storeatula major
Polytomella papillata
Chrysochromulina parva
Rhodomonas salina
Salmonella enterica
Escherichia coli
Chlorobium phaeobacteriodes
Stephanodiscus rotula
Cyclotella pseudostelligera
Prorocentrum micans
Heterocapsa niei
Ditylum brightwelli
Amphora coffeaeformis
Nitzschia curvilineata
Leptocylindrus danicus
Nitzschia frustulum
Cylindrotheca fusiformis
Corethron hystrix
Amphiprora paludosa var. duplex
Coscinodiscus radiatus
Navicula salinarum
Nitzschia thermalis
Isochrysis galbana
Dunaliella tertiolecta
Loxodes striatus
Chlorogonium elongatum
Bodo caudatus
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
Pseudomonas flourescens
Aeromonas hydrophila
Pseudomonas flourescens
Aeromonas hydrophila
unknown_diatom unknown_diatom
unknown_diatom unknown_diatom
unknown_diatom unknown_diatom
Strobilidium
Strobilidium
Strobilidium
unknown_ciliate unknown_ciliate
Rhodomonas lens
Tetraselmis chui
Heterosigma akashiwo
Fibrocapsa japonica
Isochrysis galbana
Chrysochromulina simplex
Prymnesium parvum
Prymnesium nemamethecum
Pyramimonas orientalis
Pyramimonas propulsa
Diacronema lutheri
Oxyrrhis marina
Heterocapsa rotundata
Heterocapsa triquetra
Prorocentrum micans
Tetraselmis suecica
Pseudocohnilembus
Rhodomonas baltica
Rhodomonas marina
Teleaulax amphioxeia
Rhodomonas salina
Hemiselmis
Gymnodinium instriatum
Akashiwo sanguinea
Alexandrium ostenfeldii
unknown_cryptomonad unknown_cryptomonad
Halomonas halodurens
Vibrio pelagicus
Vibrio pelagicus
Vibrio pelagicus
Vibrio pelagicus
Vibrio pelagicus
Vibrio pelagicus
Vibrio pelagicus
Vibrio pelagicus
Vibrio pelagicus
unknown_dinoflagellate unknown_dinoflagellate
unknown_dinoflagellate unknown_dinoflagellate
unknown_diatom unknown_diatom
unknown_diatom unknown_diatom
unknown_diatom unknown_diatom
unknown_dinoflagellate unknown_dinoflagellate
unknown_diatom unknown_diatom
unknown_diatom unknown_diatom
unknown_dinoflagellate unknown_dinoflagellate
unknown_dinoflagellate unknown_dinoflagellate
unknown_dinoflagellate unknown_dinoflagellate
unknown_diatom unknown_diatom
unknown_diatom unknown_diatom
unknown_diatom unknown_diatom
unknown_diatom unknown_diatom
Tetrahymena pyriformis
Procryptobia sorokini
Pseudomonas flourescens
unidentified_bacteria unidentified_bacteria
Serratia marcescens
Proteus mirabilis
Escherichia coli
Enterobacter aerogenes
Sarcina lutea
Bacillus megaterium
unknown_gammaproteobacteria unknown_gammaproteobacteria
unknown_gammaproteobacteria unknown_gammaproteobacteria
unknown_gammaproteobacteria unknown_gammaproteobacteria
unknown_gammaproteobacteria unknown_gammaproteobacteria
unknown_gammaproteobacteria unknown_gammaproteobacteria
unknown_gammaproteobacteria unknown_gammaproteobacteria
Pseudomonas putida
Pseudomonas putida
Enterobacter aeogenes
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
Klebsiella pneumoniae
Enterobacter aerogenes
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
Pseudomonas putida
Synechococcus elongatus
Bacillus subtilis
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
Chlamydomonas acidophila
unidentified_bacteria unidentified_bacteria
Crypthecodinium cohnii
Thalassiosira pseudonana
Skeletonema costatum
Amphora coffeaeformis
Alteromonas macleodii
Nassula aurea
Melolontha melolontha
Melolontha melolontha
Hasora khoda
Chaetocneme beata
Melanitis leda
Antipodophlebia asthenes
Hypocysta adiante
Hypochrysops miskini
Euschemon rafflesia
Melanitis leda
Pteropus conspicillatus
Acraea andromacha
Characoma vallata
Eurrhyparodes bracteolais
Mythimna convecta
Scioglyptis lyciaria
Aedes vigilax
Lysimelia ienis
Dysbatus singularis
Psaltoda plaga
Leptocyclopodia laminata
Leptocyclopodia ferrisiana
Leptocyclopodia ferrisiana
Leptocyclopodia analis
Leptocyclopodia analis
Eucampsipoda inermis
Leptocyclopodia ferrisiana
Leptocyclopodia ferrisiana
Cyclopodia horsfieldi
Cyclopodia horsfieldi
Leptocyclopodia analis
Leptocyclopodia analis
Leptocyclopodia analis
Basilia blainvillii
Trichobius sphaeronotus
Nycterophilia coxata
Pachnoda sinuata
Trichobius keenani
Trichobius dugesii
Trichobius yunkeri
Trichobius joblingi
Strebla alvarezi
Basilia bequaerti
Lapidocarpus luckoschi
Aspidoptera falcata
Trichobius joblingi
Trichobius tiptoni
Paraeuctenodes longipes
Megistopoda aranea
Paratrichobius longicrus
Aspidoptera phyllostomatus
Megistopoda aranea
Strebla guajiro
Trichobius joblingi
Paraeuctenodes longipes
Trichobius joblingi
Megistopoda proxima
Spodoptera latifascia
Magusa orbifera
Pseudophisma delunaris
Coxina hadenoides
Coscaga picatalis
Parachabora abydas
Spinturnix myoti
Spinturnix acuminata
Spinturnix andegavinus
Spinturnix plecotina
Spinturnix myoti
Spinturnix myoti
Eilema complana
Schizodactylus monstrosus
Leptynoptera sulfurea
Cryptotympana facialis
Spondylis buprestoides
Platypleura kaempferi
Anomala albopilosa
Heterosoma exasperata
Prosopocoilus inclinatus
Anomala albopilosa
Rhynchocypris lagowskii
Carassius auratus
Zacco platypus
Acrobasis nuxvorella
Acrobasis nuxvorella
Acrobasis nuxvorella
Rhodnius prolixus
Rhodnius prolixus
Rhodnius prolixus
Amsacta moorei
Odontotermes obesus
Microtermes obessi
Daphnis nerii
Euchloron megaera
Periglischrus thomasi
Periglischrus iheringi
Paralabidocarpus artibei
Nycterophilia parnelli
Trichobius truncatus
Trichobius robynae
Trichobius cernyi
Spelaeorhynchus monophylli
Periglischrus cubanus
Carios viguerasi
Trichobius truncatus
Trichobius robynae
Spinturnix bakeri
Periglischrus cubanus
Trichobius truncatus
Radfordiella oudemansi
Lawrenceocarpus micropilus
Trichobius robynae
Trichobius internedius
Aspidoptera phyllostomatus
Sphelaeorhynchus praecursor
Periglischrus iheringi
Paralabidocarpus artibei
Megistopoda aranea
Camponotus ustus
Iridomyrmex melleus
Fidicina mannifera
Periplaneta americana
Exastinion deceptiuum
Trichobius hispidus
Derobrachus geminatus
Schistocerca nitens
Microcentrum californicus
Peridroma saucia
Smerinthus cerisyi
Hyles livornica
Polyphylla decemilineata
Chlaenius sericeus
Tomarus gibbosus
Polybia sericea
Phylloscopus sibilatrix
Erithacus rubecula
Pteropus mariannus
Cynopterus sphinx
Cynopterus sphinx
Pteropus poliocephalus
Pteropus poliocephalus
Oenobotys vinotinctalis
Aedes vexans
Melanotus depressus
Leucauge regnyi
Ancylis spiracifoliana
Napeogenes sylphis
Heliconius hecale
Dircenna olyra relata
Brevioleria arzalia
Spodoptera frugiperda
Schinia trifascia
Physula albipunctilla
Ophisma tropicalis
Remigia conveniens
Musca domestica
Isonychia arida
Apistosia judas
Sparagmia gigantalis
Aristotelia roseosuffusella
Argyrotome alba
Patalene hamulata
Ptychamalia perlata
Sphacelodes vulneraria
Callophrys augustinus
Anomis erosa
Cyrtepistomus castaneus
Mayetiola destructor
Tetramorium caespitum
Isonychia arida
Aedes vexans
Aedes trivittatus
Aedes excrucians
Phyllophaga implicita
Epuraea corticina
Melanotus similis
Hemicrepidius memnonius
