Amphistichus argenteus
Amphiuma means
Amphiuma tridactylum
Amphiura chiajei
Amphiura filiformis
Amphiura sundevalli
Amphora coffeaeformis
Ampithoe longimana
Ampithoe rubricata
Ampithoe valida
Amsacta moorei
Amydria effrentella
Amyema queenslandica
Anabas testudineus
Anabolia bimaculata
Anabolia nervosa
Anacaena limbata
Anacardium excelsum
Anaceratagallia ribauti
Anacridium aegyptium
Anacystis nidulans
Anadara brasiliana
Anadara notabilis
Anadara ovalis
Anadara transversa
Anagrapha falcifera
Anapagurus laevis
Anaplectus grandepapillatus
Anaptus major
Anarhichas lupus
Anas acuta
Anas clypeata
Anas crecca
Anas penelope
Anas platyrhynchos
Anas versicolor
Anastrepha ludens
Anatis ocellata
Anaulacaspis nigra
Anax amazili
Anax imperator
Anax junius
Anax longipes
Anax walsinghami
Anaxyrus americanus
Anaxyrus boreas
Anaxyrus californicus
Anaxyrus cognatus
Anaxyrus fowleri
Anaxyrus punctatus
Anaxyrus quercicus
Anaxyrus terrestris
Anaxyrus woodhousii
Anchialina agilis
Anchoa compressa
Anchoa delicatissima
Anchoa hepsetus
Anchoa lamprotaenia
Anchoa lucida
Anchoa mitchilli
Anchoa nasus
Anchoa parva
Anchoa spinifer
Anchomenus dorsalis
Anchovia clupeoides
Anchoviella lepidentostole
Anchylomera blossevillei
Ancistrocerus gazella
Ancistrocheirus lesueurii
Ancistroteuthis lichtensteini
Ancylis apicella
Ancylis divisana
Ancylis spiracifoliana
Ancylus fluviatilis
Andrena cineraria
Andrena flavipes
Andrena regularis
Andrena wilkella
Aneides aeneus
Aneides hardii
Anelasmocephalus cambridgei
Anelosimus vittatus
Anemonia sargassensis
Anemonia sulcata
Anemonia viridis
Anepischetosia maccoyi
Anguilla anguilla
Anguilla australis
Anguilla rostrata
Anguis fragilis
Anguis veronensis
Anhinga anhinga
Anicla infecta
Aniculus aniculus
Anilios australis
Anilios endoterus
Anilios nigrescens
Anilios nigroterminatus
Anilios proximus
Anilius scytale
Anilocra physodes
Anisarchus medius
Anisodactylus binotatus
Anisogammarus confervicolus
Anisota virginiensis
Anisotremus davidsonii
Anisotremus surinamensis
Anisotremus virginicus
Anisus leucostoma
Anniella pulchra
Anniella stebbinsi
Annona hayesii
Annona spraguei
Anodonta anatina
Anolis armouri
Anolis barkeri
Anolis brasiliensis
Anolis brevirostris
Anolis carolinensis
Anolis caudalis
Anolis chlorocyanus
Anolis christophei
Anolis coelestinus
Anolis cristatellus
Anolis cuvieri
Anolis cybotes
Anolis distichus
Anolis evermanni
Anolis frenatus
Anolis griseus
Anolis hendersoni
Anolis lemurinus
Anolis luciae
Anolis mariarum
Anolis meridionalis
Anolis monensis
Anolis nebulosus
Anolis olssoni
Anolis ortonii
Anolis petersii
Anolis porcatus
Anolis porcus
Anolis pulchellus
Anolis punctatus
Anolis sagrei
Anolis schwartzi
Anolis scriptus
Anolis scypheus
Anolis semilineatus
Anolis sericeus
Anolis stratulus
Anolis uniformis
